,PlayerID,Player_Name,Age,Height,MaxRank,Hand,Country,First_Serve_%,First_Serve_Win_%,win_count,lose_count,Win%
42,104269,Fernando Verdasco,25.4291581109,188.0,7.0,L,ESP,0.7681159420289855,0.660377358490566,554.0,432.0,1.28
43,109739,Maximilian Marterer,23.1622176591,,45.0,L,GER,0.5735294117647058,0.7692307692307693,25.0,53.0,0.47
44,106000,Damir Dzumhur,26.1163586585,172.0,23.0,R,BIH,,,121.0,133.0,0.91
45,105657,Marius Copil,28.3011635866,193.0,56.0,R,ROU,0.6219512195121951,0.7450980392156863,65.0,88.0,0.74
46,104312,Andreas Seppi,28.9363449692,190.0,18.0,R,ITA,,,386.0,417.0,0.93
47,105077,Albert Ramos,29.3059548255,188.0,17.0,L,ESP,0.6862745098039216,0.6,242.0,269.0,0.9
48,111575,Karen Khachanov,23.1868583162,198.0,8.0,R,RUS,0.6413043478260869,0.7966101694915254,172.0,136.0,1.26
49,104898,Robin Haase,30.3572895277,190.0,35.0,R,NED,0.632183908045977,0.7272727272727273,230.0,270.0,0.85
50,122570,Mubarak Shannan Zayid,23.7152635181,,,U,QAT,0.675,0.8148148148148148,,4.0,
51,126610,Matteo Berrettini,25.5359342916,196.0,7.0,R,ITA,0.6825396825396826,0.7906976744186046,112.0,64.0,1.75
52,105676,David Goffin,27.1074606434,180.0,7.0,R,BEL,0.6198347107438017,0.7333333333333333,294.0,197.0,1.49
53,105173,Adrian Mannarino,29.7193702943,183.0,22.0,L,FRA,0.6,0.7878787878787878,217.0,263.0,0.83
54,117356,Cem Ilkel,26.0643394935,185.0,176.0,R,TUR,0.6585365853658537,0.8518518518518519,6.0,23.0,0.26
55,104660,Sergiy Stakhovsky,24.7227926078,193.0,31.0,R,UKR,0.5576923076923077,0.7586206896551724,173.0,215.0,0.8
56,103893,Paolo Lorenzi,35.5099247091,183.0,33.0,R,ITA,0.6470588235294118,0.8787878787878788,110.0,185.0,0.59
57,104259,Philipp Kohlschreiber,28.8268309377,178.0,17.0,R,GER,0.654320987654321,0.7924528301886793,481.0,397.0,1.21
58,105376,Peter Gojowczyk,28.9637234771,185.0,39.0,R,GER,0.6835443037974683,0.8333333333333334,72.0,85.0,0.85
59,106233,Dominic Thiem,26.9733059548,185.0,3.0,R,AUT,0.6470588235294118,0.9090909090909091,308.0,167.0,1.84
60,104731,Kevin Anderson,32.2765229295,203.0,5.0,R,RSA,0.5837837837837838,0.7685185185185185,355.0,247.0,1.44
61,103333,Ivo Karlovic,29.4702258727,208.0,14.0,R,CRO,0.5666666666666667,0.8823529411764706,373.0,346.0,1.08
62,104468,Gilles Simon,24.3696098563,183.0,7.0,R,FRA,0.6271186440677966,0.6756756756756757,501.0,388.0,1.29
63,104327,Steve Darcis,34.8008213552,178.0,,R,BEL,0.651685393258427,0.896551724137931,119.0,137.0,0.87
64,144719,Jaume Munar,22.0588637919,183.0,53.0,R,ESP,0.7578125,0.711340206185567,43.0,67.0,0.64
65,105332,Benoit Paire,26.6776180698,196.0,18.0,R,FRA,0.45161290322580644,0.8333333333333334,237.0,269.0,0.88
66,104291,Malek Jaziri,34.9650924025,185.0,42.0,R,TUN,0.6538461538461539,1.0,99.0,139.0,0.71
67,105208,Ernests Gulbis,25.7741273101,190.0,10.0,R,LAT,0.8055555555555556,0.8620689655172413,245.0,239.0,1.03
68,111513,Laslo Djere,24.0410677618,188.0,27.0,R,SRB,0.6296296296296297,0.9117647058823529,76.0,82.0,0.93
69,104620,Simone Bolelli,23.3785078713,183.0,36.0,R,ITA,0.6153846153846154,0.8125,123.0,168.0,0.73
70,125802,Ilya Ivashka,27.5893223819,193.0,45.0,R,BLR,0.6833333333333333,0.7073170731707317,57.0,51.0,1.12
71,106210,Jiri Vesely,21.7960301164,198.0,35.0,L,CZE,0.6052631578947368,0.7391304347826086,132.0,155.0,0.85
72,111581,Michael Mmoh,20.9719370294,,103.0,R,USA,0.6183206106870229,0.6296296296296297,10.0,23.0,0.43
73,106368,Ramkumar Ramanathan,23.704312115,188.0,115.0,R,IND,0.6326530612244898,0.8709677419354839,21.0,31.0,0.68
74,105539,Evgeny Donskoy,23.1266255989,185.0,66.0,R,RUS,0.7473684210526316,0.7746478873239436,55.0,117.0,0.47
75,111202,Hyeon Chung,21.9657768652,188.0,21.0,R,KOR,0.6486486486486487,0.7083333333333334,84.0,69.0,1.22
76,111459,Arjun Kadhe,24.9801505818,,392.0,R,IND,0.6142857142857143,0.8604651162790697,,3.0,
77,104797,Denis Istomin,25.9329226557,188.0,33.0,R,UZB,0.717391304347826,0.8181818181818182,230.0,265.0,0.87
78,105430,Radu Albot,29.7303216975,175.0,39.0,R,MDA,0.691358024691358,0.7142857142857143,86.0,119.0,0.72
79,128034,Hubert Hurkacz,24.758384668,196.0,9.0,R,POL,0.5652173913043478,0.7435897435897436,85.0,76.0,1.12
80,126156,Antoine Hoang,23.7891854894,,98.0,R,FRA,0.5666666666666667,0.7450980392156863,6.0,13.0,0.46
81,106329,Thiago Monteiro,26.7515400411,183.0,74.0,L,BRA,0.6122448979591837,0.9,55.0,79.0,0.7
82,106148,Roberto Carballes Baena,26.2340862423,183.0,72.0,R,ESP,0.5084745762711864,0.8666666666666667,63.0,79.0,0.8
83,105432,Prajnesh Gunneswaran,29.3442847365,,84.0,L,IND,0.484375,0.8387096774193549,10.0,26.0,0.38
84,104719,Marcel Granollers,26.2614647502,190.0,20.0,R,ESP,0.6545454545454545,0.75,203.0,250.0,0.81
85,104665,Pablo Andujar,29.4674880219,180.0,32.0,R,ESP,,,156.0,226.0,0.69
86,200000,Felix Auger Aliassime,21.2320328542,193.0,11.0,R,CAN,0.5974025974025974,0.8043478260869565,101.0,75.0,1.35
87,105155,Pedro Sousa,30.7296372348,180.0,99.0,R,POR,0.6122448979591837,0.6,17.0,30.0,0.57
88,111815,Cameron Norrie,26.2313483915,188.0,12.0,L,GBR,0.6338028169014085,0.7777777777777778,103.0,85.0,1.21
89,105807,Pablo Carreno Busta,26.4750171116,188.0,10.0,R,ESP,0.6956521739130435,0.7,232.0,185.0,1.25
90,104926,Fabio Fognini,32.1423682409,178.0,9.0,R,ITA,0.5517241379310345,0.9375,387.0,340.0,1.14
91,104545,John Isner,33.7960301164,206.0,9.0,R,USA,0.75,0.9080459770114943,455.0,283.0,1.61
92,105311,Joao Sousa,27.1293634497,185.0,28.0,R,POR,0.652542372881356,0.6753246753246753,197.0,237.0,0.83
93,103970,David Ferrer,31.3429158111,175.0,3.0,R,ESP,0.7538461538461538,0.7142857142857143,740.0,379.0,1.95
94,104907,Jose Rubin Statham,26.7022587269,183.0,288.0,R,NZL,0.6037735849056604,0.75,23.0,26.0,0.88
95,133430,Denis Shapovalov,22.2614647502,185.0,10.0,L,CAN,0.4647887323943662,0.8181818181818182,136.0,107.0,1.27
96,105449,Steve Johnson,26.5845311431,188.0,21.0,R,USA,0.59375,0.7894736842105263,181.0,182.0,0.99
97,111456,Mackenzie Mcdonald,26.546201232,,54.0,R,USA,0.7368421052631579,0.8095238095238095,41.0,56.0,0.73
